64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2732","2026","Will Plattner","Alabama","DH","Sr","21","0.140","0.282","0.246","8","57","8","3","0","14","1","8","8","4","2","1","16","0","0","1","0","72"
"2733","2026","Joshua Hanson","California","CF","So","27","0.159","0.253","0.268","12","82","13","3","0","22","2","13","9","2","2","1","30","0","0","3","0","96"
"2734","2026","Jake Lopez","Seton Hall","LF","Jr","17","0.241","0.339","0.278","12","54","13","2","0","15","0","7","6","2","0","3","10","3","0","0","0","65"
"2735","2026","Hunter Komine","Seattle U","LF","Jr","16","0.348","0.436","0.391","12","46","16","2","0","18","0","9","6","2","1","3","7","2","1","4","0","58"
"2736","2026","Mike Fiatarone","Bryant","DH","Fr","14","0.280","0.500","0.480","9","25","7","2","0","12","1","12","9","2","0","0","11","0","0","2","0","36"
"2737","2026","Sloan Barrett","Murray St.","2B","Jr","11","0.394","0.533","0.545","16","33","13","2","0","18","1","10","9","2","1","0","2","0","0","6","0","45"
"2738","2026","Levi McAllister","UAlbany","C","Jr","22","0.235","0.301","0.306","10","85","20","3","0","26","1","14","7","1","0","0","25","1","0","1","0","93"
"2739","2026","Jaryn Sample","Delaware St.","3B","Jr","24","0.155","0.234","0.286","9","84","13","2","0","24","3","10","8","1","1","0","22","1","0","2","0","94"
"2740","2026","Gavin Schrader","Troy","DH","Sr","16","0.257","0.316","0.314","1","35","9","2","0","11","0","2","1","2","0","0","7","0","0","0","0","38"
"2741","2026","Sawyer Pace","Bellarmine","1B","Sr","26","0.297","0.484","0.313","20","64","19","1","0","20","0","10","14","11","2","2","16","1","0","5","0","93"
"2742","2026","Jacob Gaudreau","Bryant","C","Sr","21","0.240","0.418","0.360","8","50","12","0","0","18","2","13","12","4","1","7","16","0","0","2","0","74"
"2743","2026","Gannon Snyder","California","RF","Jr","23","0.190","0.205","0.278","5","79","15","5","1","22","0","9","2","0","2","1","12","1","1","2","0","84"
"2744","2026","Will Rudolph","Sacred Heart","RF","Fr","25","0.256","0.360","0.314","16","86","22","5","0","27","0","8","9","5","0","0","18","0","0","1","0","100"
"2745","2026","TJ Gramesty","Fla. Atlantic","C","So","19","0.250","0.375","0.327","8","52","13","4","0","17","0","9","8","3","1","3","19","0","0","3","0","67"
"2746","2026","Jacob Kendall","Florida","DH","Fr","23","0.177","0.246","0.355","12","62","11","1","2","22","2","11","5","1","1","0","16","0","0","0","0","69"
"2747","2026","Nathanael Coupet","Georgia Tech","1B","So","11","0.500","0.533","0.750","6","12","6","0","0","9","1","9","1","1","1","0","5","0","0","0","0","15"
"2748","2026","Max McGwire","Saint Louis","RF","Sr","25","0.239","0.300","0.391","4","46","11","1","0","18","2","8","4","0","0","0","19","0","0","0","0","50"
"2749","2026","Cam Schneider","Fresno St.","3B","Jr","16","0.254","0.351","0.333","8","63","16","2","0","21","1","14","8","2","1","0","7","0","0","3","0","74"
"2750","2026","Cam Burdick","Cal St. Fullerton","CF","Jr","15","0.234","0.308","0.447","9","47","11","2","1","21","2","6","2","3","0","0","18","2","0","0","0","52"
"2751","2026","Chayton Fischer","UTRGV","C","Jr","25","0.217","0.342","0.283","5","60","13","4","0","17","0","8","7","5","1","1","30","0","0","0","0","74"
"2752","2026","Dane Watts","Southeastern La.","CF","Sr","18","0.254","0.338","0.349","10","63","16","6","0","22","0","7","8","0","0","1","7","0","0","0","1","72"
"2753","2026","Ruben Zuany","Bethune-Cookman","DH","Fr","18","0.242","0.349","0.455","5","33","8","4","0","15","1","10","6","1","3","0","16","0","0","1","0","43"
