Team Rk,Year,School,Conference,P-OPS,WHIP,FIP,OPS,wOBA,R/PA,RC/AB,RA/AB,wRC35,wRA35,wRE35,Rk - wRE35
"148","2026","A&M-Corpus Christi","Southland","0.762","1.59","4.52","0.747","0.338","0.15","0.14","0.15","3.21","1.50","4.71","0.339"
"149","2026","Murray St.","MVC","0.774","1.52","4.82","0.838","0.375","0.20","0.16","0.15","4.03","2.73","6.76","0.596"
"150","2026","Arizona","Big 12","0.793","1.58","3.87","0.741","0.332","0.13","0.14","0.15","4.25","5.35","9.60","0.837"
"151","2026","Memphis","AAC","0.931","1.78","6.33","0.795","0.357","0.16","0.15","0.21","4.12","1.26","5.37","0.420"
"152","2026","Georgia St.","Sun Belt","0.810","1.71","5.70","0.750","0.338","0.16","0.14","0.16","3.96","3.08","7.04","0.629"
"153","2026","SIUE","OVC","0.869","1.62","5.78","0.891","0.387","0.19","0.19","0.18","5.23","1.74","6.97","0.616"
"154","2026","Santa Clara","WCC","0.777","1.49","4.95","0.745","0.334","0.14","0.14","0.16","3.94","3.61","7.55","0.681"
"155","2026","Yale","Ivy League","0.708","1.40","4.09","0.786","0.356","0.18","0.14","0.12","3.14","2.48","5.63","0.453"
"156","2026","Indiana St.","MVC","0.837","1.68","5.74","0.870","0.381","0.19","0.20","0.17","5.38","2.20","7.58","0.684"
"157","2026","Georgetown","Big East","0.765","1.40","4.69","0.831","0.372","0.17","0.17","0.14","3.81","1.28","5.09","0.381"
"158","2026","Bryant","America East","0.774","1.56","4.38","0.822","0.364","0.17","0.17","0.15","3.72","2.51","6.23","0.534"
"159","2026","Southern Ind.","OVC","0.714","1.44","4.44","0.799","0.360","0.19","0.16","0.12","3.91","2.63","6.54","0.570"
"160","2026","FDU","NEC","0.822","1.68","5.75","1.002","0.437","0.22","0.24","0.17","4.88","-1.03","3.85","0.225"
"161","2026","Washington St.","MW","0.834","1.67","5.15","0.775","0.349","0.15","0.14","0.17","3.97","0.24","4.21","0.277"
"162","2026","UC Irvine","Big West","0.732","1.34","3.99","0.684","0.316","0.11","0.11","0.13","2.87","3.31","6.18","0.528"
"163","2026","Creighton","Big East","0.856","1.67","5.46","0.755","0.340","0.14","0.13","0.17","3.99","2.56","6.54","0.573"
"164","2026","UT Arlington","WAC","0.784","1.55","4.71","0.715","0.326","0.13","0.12","0.16","3.02","1.52","4.54","0.309"
"165","2026","Houston Christian","Southland","0.876","1.69","5.03","0.795","0.355","0.17","0.15","0.19","3.75","0.00","3.76","0.215"
"166","2026","St. John's (NY)","Big East","0.750","1.56","4.63","0.714","0.324","0.13","0.13","0.13","3.30","2.10","5.40","0.430"
"167","2026","Navy","Patriot","0.653","1.25","3.23","0.733","0.334","0.15","0.13","0.11","3.18","3.94","7.12","0.648"
"168","2026","Richmond","Atlantic 10","0.784","1.42","4.93","0.835","0.373","0.15","0.16","0.14","4.04","0.65","4.68","0.332"
"169","2026","UIW","Southland","0.885","1.65","5.79","0.884","0.390","0.18","0.19","0.19","4.28","-1.60","2.68","0.124"
"170","2026","NIU","MAC","0.782","1.46","5.03","0.809","0.360","0.15","0.16","0.14","3.50","1.83","5.33","0.417"
"171","2026","Jacksonville","ASUN","0.811","1.63","5.23","0.783","0.352","0.16","0.15","0.16","3.75","2.00","5.75","0.469"
"172","2026","Lamar","Southland","0.732","1.52","4.75","0.719","0.327","0.13","0.12","0.14","3.21","2.84","6.05","0.511"
"173","2026","Old Dominion","Sun Belt","0.866","1.81","5.04","0.808","0.362","0.16","0.16","0.19","4.03","1.02","5.05","0.378"
"174","2026","Gardner-Webb","Big South","0.908","1.90","5.75","0.831","0.370","0.17","0.16","0.20","4.65","-0.69","3.96","0.248"
"175","2026","Stetson","ASUN","0.799","1.61","4.49","0.717","0.327","0.13","0.12","0.16","3.46","1.43","4.90","0.352"
"176","2026","North Ala.","ASUN","0.840","1.75","5.70","0.806","0.359","0.15","0.16","0.17","3.98","1.26","5.23","0.397"
"177","2026","Morehead St.","OVC","1.012","1.94","7.67","0.932","0.405","0.20","0.22","0.25","5.40","-2.86","2.54","0.117"
"178","2026","Penn","Ivy League","0.764","1.53","4.30","0.692","0.314","0.13","0.12","0.15","3.48","2.84","6.32","0.557"
"179","2026","San Diego","WCC","0.868","1.62","5.52","0.778","0.350","0.14","0.15","0.18","4.60","3.44","8.03","0.713"
"180","2026","Rider","MAAC","0.774","1.57","5.22","0.870","0.383","0.18","0.18","0.14","3.32","0.29","3.61","0.195"
"181","2026","CSU Bakersfield","Big West","0.919","1.75","5.25","0.803","0.361","0.16","0.15","0.20","3.86","-1.01","2.85","0.150"
"182","2026","Florida A&M","SWAC","0.730","1.54","4.30","0.738","0.332","0.15","0.14","0.12","2.77","1.04","3.81","0.218"
"183","2026","Hofstra","CAA","0.843","1.77","5.53","0.771","0.347","0.16","0.14","0.17","4.10","2.44","6.53","0.567"
"184","2026","Ark.-Pine Bluff","SWAC","0.757","1.47","4.92","0.798","0.360","0.18","0.16","0.14","3.17","0.82","3.98","0.251"
"185","2026","Dayton","Atlantic 10","0.894","1.80","5.69","0.927","0.409","0.21","0.21","0.19","4.50","-0.49","4.01","0.254"
"186","2026","Utah Tech","WAC","0.844","1.60","4.94","0.828","0.375","0.17","0.17","0.18","3.58","-0.81","2.77","0.140"
"187","2026","Utah Valley","WAC","0.798","1.65","4.90","0.877","0.388","0.18","0.19","0.16","4.19","0.43","4.62","0.316"
"188","2026","George Mason","Atlantic 10","0.773","1.53","4.94","0.741","0.335","0.15","0.15","0.14","3.37","2.27","5.64","0.456"
"189","2026","Ga. Southern","Sun Belt","0.927","1.90","5.44","0.798","0.358","0.15","0.16","0.20","4.73","1.13","5.86","0.482"
"190","2026","Towson","CAA","0.805","1.57","4.78","0.806","0.363","0.18","0.16","0.15","4.12","3.00","7.12","0.645"
"191","2026","UMBC","America East","0.781","1.63","4.87","0.828","0.371","0.19","0.17","0.15","3.50","1.10","4.60","0.313"
"192","2026","Monmouth","CAA","0.878","1.78","4.99","0.875","0.389","0.18","0.18","0.19","4.29","0.80","5.09","0.384"
"193","2026","Oral Roberts","Summit League","0.722","1.30","4.81","0.707","0.323","0.12","0.12","0.13","2.59","1.35","3.94","0.241"
"194","2026","San Jose St.","MW","0.839","1.71","5.05","0.762","0.339","0.15","0.15","0.17","4.17","2.97","7.14","0.651"
"195","2026","San Francisco","WCC","0.761","1.50","4.45","0.759","0.343","0.13","0.14","0.15","3.73","1.99","5.72","0.463"
